date,block0,block1,block2,block3,block4,block5
2025-08-07,22.8,38.5,120.0,115.0,75.0,56.38
2025-08-08,22.84,36.0,92.76,90.0,68.72,56.11
2025-08-09,18.4,27.0,84.0,84.0,60.0,39.08
2025-08-10,18.4,24.0,120.0,114.12,68.0,36.36
2025-08-11,16.0,34.2,120.0,76.0,68.0,60.0
2025-08-12,16.28,33.5,100.0,80.0,72.72,49.95
2025-08-13,19.73,43.57,120.0,134.25,87.1,48.69
2025-08-14,18.4,45.86,108.31,100.0,71.92,40.4
2025-08-15,18.16,32.36,92.0,80.0,63.6,38.0
2025-08-16,16.3,24.28,98.8,65.0,69.92,41.6
2025-08-17,16.2,18.4,80.0,80.0,60.0,40.4
2025-08-18,18.4,42.68,130.99,92.59,95.12,67.43
2025-08-19,19.1,45.6,134.36,100.0,97.72,83.06
2025-08-20,13.3,40.0,100.52,92.44,70.0,51.44
2025-08-21,11.36,39.1,81.32,92.0,56.0,51.6
2025-08-22,12.8,35.6,91.52,80.86,80.0,51.2
2025-08-23,18.4,43.87,112.94,155.52,95.0,44.72
2025-08-24,18.62,49.0,106.0,100.0,90.0,51.64
2025-08-25,18.66,34.34,141.79,164.0,103.74,60.57
2025-08-26,24.75,56.0,127.0,134.0,93.04,68.0
2025-08-27,41.64,60.0,100.0,139.92,95.88,70.7
2025-08-28,38.59,59.04,85.0,108.35,78.2,67.43
2025-08-29,38.56,50.3,75.0,111.09,72.24,65.08
2025-08-30,22.0,36.0,85.0,90.0,82.0,52.0
2025-08-31,20.0,29.98,116.0,98.9,74.0,48.0
2025-09-01,19.66,47.0,88.73,82.12,74.88,61.9
2025-09-02,18.0,47.0,84.0,84.0,60.0,54.0
2025-09-03,18.89,33.04,79.52,77.32,54.0,53.55
2025-09-04,26.87,52.0,92.76,134.25,74.87,69.18
2025-09-05,19.1,55.04,66.9,70.0,49.0,53.37
2025-09-06,17.6,23.52,84.0,72.0,53.39,34.2
2025-09-07,18.0,24.0,102.34,115.91,80.0,44.0
2025-09-08,18.4,40.0,92.0,97.9,80.0,80.55
2025-09-09,18.4,49.82,88.0,62.93,62.0,57.8
2025-09-10,17.2,50.08,80.0,62.7,55.2,64.16
2025-09-11,16.4,42.0,76.0,80.0,60.0,50.0
2025-09-12,15.0,42.0,92.76,57.96,100.0,67.43
2025-09-13,21.0,35.48,88.0,81.0,99.94,48.0
2025-09-14,19.5,26.4,112.0,99.67,97.14,50.1
2025-09-15,44.0,48.0,86.18,128.0,79.91,55.2
2025-09-16,50.05,60.28,116.0,152.0,76.2,63.59
2025-09-17,38.0,69.08,114.24,147.46,70.8,57.02
2025-09-18,51.5,64.0,109.44,181.3,98.9,65.9
2025-09-19,50.0,59.84,119.4,201.5,87.0,51.0
2025-09-20,39.0,40.4,148.45,212.0,86.0,53.32
2025-09-21,33.4,39.8,128.87,182.87,94.45,59.73
2025-09-22,31.4,42.99,84.27,104.0,72.0,57.8
2025-09-23,45.6,67.2,120.0,115.07,100.0,85.62
2025-09-24,37.5,80.0,102.59,115.07,75.68,71.0
2025-09-25,32.0,75.0,109.0,175.48,68.14,55.2
2025-09-26,34.14,60.47,79.51,106.68,53.0,50.0
2025-09-27,29.0,49.4,84.45,96.0,60.0,46.0
2025-09-28,23.64,34.48,76.0,88.0,53.0,48.66
2025-09-29,20.4,48.0,77.6,79.38,50.0,54.0
2025-09-30,30.5,76.99,87.69,83.46,60.0,55.95
2025-10-01,23.8,94.5,97.62,86.5,107.32,55.4
2025-10-02,36.0,87.52,124.76,98.84,95.16,68.0
2025-10-03,22.0,60.0,92.76,95.96,70.75,49.68
2025-10-04,38.0,44.0,75.52,75.52,60.0,44.0
2025-10-05,36.53,44.0,70.0,100.0,80.0,45.0
2025-10-06,40.0,70.5,92.76,125.64,68.36,45.0
2025-10-07,49.32,72.0,72.0,100.0,87.87,46.0
